name,startdate,dataTakeID,fileVersion,id,clouds,usable
BE-Vie,2021-02-27 10:43:00,20210227104304,1,PRS_L2D_STD_20210227104304_20210227104308_0001,no,1
BE-Vie,2020-06-29 10:55:00,20200629105538,1,PRS_L2D_STD_20200629105538_20200629105542_0001,many,0
BE-Vie,2020-04-20 10:49:00,20200420104916,1,PRS_L2D_STD_20200420104916_20200420104920_0001,no,1
CH-Dav,2019-06-28 10:28:00,20190628102840,1,PRS_L2D_STD_20190628102840_20190628102844_0001,many,0
DE-Hai,2020-04-25 10:35:00,20200425103535,1,PRS_L2D_STD_20200425103535_20200425103539_0001,closed,0
DE-Hai,2020-04-19 10:32:00,20200419103219,1,PRS_L2D_STD_20200419103219_20200419103223_0001,no,1
DE-Hai,2020-05-12 10:28:00,20200512102854,1,PRS_L2D_STD_20200512102854_20200512102859_0001,closed,0
DE-Hai,2020-09-23 10:38:00,20200923103807,1,PRS_L2D_STD_20200923103807_20200923103812_0001,closed,0
DE-Hai,2020-06-28 10:38:00,20200628103840,1,PRS_L2D_STD_20200628103840_20200628103844_0001,closed,0
DE-Hai,2020-07-26 10:21:00,20200726102153,1,PRS_L2D_STD_20200726102153_20200726102157_0001,closed,0
DE-Hai,2021-04-14 10:35:00,20210414103521,1,PRS_L2D_STD_20210414103521_20210414103525_0001,many,0
DE-Hai,2021-03-27 10:25:00,20210327102541,1,PRS_L2D_STD_20210327102541_20210327102545_0001,closed,0
DE-Hai,2021-09-29 10:32:00,20210929103241,1,PRS_L2D_STD_20210929103241_20210929103245_0001,many,0
DE-Hai,2021-05-01 10:28:00,20210501102833,1,PRS_L2D_STD_20210501102833_20210501102837_0001,closed,0
DE-HoH,2020-04-13 10:28:00,20200413102845,1,PRS_L2D_STD_20200413102845_20200413102849_0001,many,2
DE-HoH,2020-08-19 10:35:00,20200819103445,1,PRS_L2D_STD_20200819103445_20200819103450_0001,many,0
DE-HoH,2020-10-27 10:24:00,20201027102418,1,PRS_L2D_STD_20201027102418_20201027102423_0001,closed,0
DE-HoH,2021-05-24 10:24:00,20210524102449,1,PRS_L2D_STD_20210524102449_20210524102454_0001,some,1
DE-HoH,2021-07-27 10:28:00,20210727102837,1,PRS_L2D_STD_20210727102837_20210727102841_0001,many,0
DE-HoH,2021-07-10 10:35:00,20210710103509,1,PRS_L2D_STD_20210710103509_20210710103514_0001,some,1
DE-RuS,2020-03-16 10:45:00,20200316104552,1,PRS_L2D_STD_20200316104552_20200316104557_0001,haze,0
DE-RuS,2020-04-26 10:52:00,20200426105222,1,PRS_L2D_STD_20200426105222_20200426105226_0001,no,1
DE-RuS,2020-08-20 10:51:00,20200820105150,1,PRS_L2D_STD_20200820105150_20200820105154_0001,haze,0
DE-RuS,2021-04-15 10:52:00,20210415105206,1,PRS_L2D_STD_20210415105206_20210415105210_0001,many,0
DE-RuS,2021-03-05 10:46:00,20210305104607,1,PRS_L2D_STD_20210305104607_20210305104612_0001,some,0
DE-RuS,2021-06-29 10:45:00,20210629104532,1,PRS_L2D_STD_20210629104532_20210629104536_0001,some,1
